Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Ipse dixit,ipsedixit.web,100069557505098,COMMUNITY,IT,"""Una vita senza ricerca non è degna per l'uomo di essere vissuta."" 

Platone, Apologia di Socrate",2013-05-22 12:06:40,54538,62284,2022-07-09 22:45:05 PDT,2022-07-09,22:45:05,Photo,"43,986",26802,1952,14534,340,90,32,119,48,69,,-,0,0,0,N/A,https://www.facebook.com/576687185697214/posts/5585468991485650,"""L'egalité, non appena abbandona il letto del diritto, distrugge ogni cosa. Come Eschilo dice di Elena di Troia: ""Ha rovinato città, navi e uomini"". L'uguaglianza fra genitori e figli ha distrutto la famiglia, l'uguaglianza fra insegnanti e studenti ha distrutto la scuola, l'uguaglianza fra l'arte e l'intrattenimento ha distrutto la cultura, l'uguaglianza fra cittadini e non cittadini ha distrutto le nazioni. L'Europa (...) aveva un'idea di eccellenza, di superamento di se stessa. L'uguaglianza forzata culturale ha ridotto l'Europa a una imbecillità.” Renaud Camus, Intervista a Il Foglio, 30 giugno 2015",https://www.facebook.com/ipsedixit.web/photos/a.576691719030094/5585468948152321/?type=3,,,,,,,,"43,986",66.44
Pierre Perret,lesitepierreperret,100044495556880,AUTHOR,FR,"Infos Galas France/Belgique/Suisse :
https://pierreperret.fr/liens/",2009-08-23 07:09:10,235369,251886,2022-07-04 10:00:03 PDT,2022-07-04,10:00:03,Photo,"11,026",7762,426,713,1944,14,16,4,3,144,,-,0,0,0,N/A,https://www.facebook.com/100044495556880/posts/579768740182973,"Mes loulous d'amour, je ne vous ai jamais dit que j'adorais les papiers bien torchés que pondait la douce et redoutable 𝙇𝙞𝙡𝙞𝙖 𝙃𝙖𝙨𝙨𝙖𝙞𝙣𝙚. Elle les débitait avec sa véhémence coutumière dans l'émission de télé Quotidien avec Yann Barthès. Elle vient d'annoncer qu'elle mettait les voiles vers d'autres horizons ! Dommage, je bichais comme un fou quand elle faisait sa fête, entre autres, à ce trépané de Renaud Camus... Heureusement pour nous, elle pond aussi de bons bouquins. Elle y distille une philosophie douce-amère, d'où la fulgurance du trait ne peut laisser indifférent. ""Les proportions de l'enfance sont des antidotes à la banalité"". Quand vous aurez terminé la lecture de son petit dernier 𝙎𝙤𝙡𝙚𝙞𝙡 𝙖𝙢𝙚𝙧, vous serez avec son auteur dans une ""distance intime"". A-t-elle écouté mes chansons pour prétendre que ""Quand le monde ne tourne pas rond, il ne reste que le rire"" ?! Eh... sait-on jamais ?! Surtout, ne change rien et ne pose jamais ton stylo !! Bon vent et bravo Lilia !! Pierre Perret",https://www.facebook.com/photo.php?fbid=579732563519924&set=a.209745260518658&type=3,,,,,,,,"11,026",1.44
Les Répliques,LesRepliquesOfficiel,100064293475320,MEDIA_NEWS_COMPANY,FR,Média indépendant ,2015-04-25 08:19:51,484024,500374,2020-06-16 00:36:34 PDT,2020-06-16,00:36:34,Photo,"10,518",6598,469,1152,280,24,1891,12,84,8,,-,0,0,0,N/A,https://www.facebook.com/1133556776671383/posts/3817707594922941,"L'écrivain ""bourlingueur"" Jean Raspail est mort samedi dernier à l'hôpital Henry-Dunant à Paris. Philippe de Villiers, Renaud Camus ou Marine Le Pen lui ont rendu hommage. Pour nous soutenir https://fr.tipeee.com/les-repliques ❤️ Retrouvez-nous sur nos réseaux : - Instagram : @lesrepliquesofficiel (posts publiés en avant première) - Twitter : @les_repliques (posts publiés en avant première) - Youtube Les Répliques TV : https://cutt.ly/ee7NKAG:=:https://www.youtube.com/channel/UC_KyKHzQdFQo9K1QFa2IyJw",https://www.facebook.com/LesRepliquesOfficiel/photos/a.1134927689867625/3817705601589807/?type=3,,,,,,,,"10,518",4.01
Breitbart,Breitbart,100059642974022,MEDIA_NEWS_COMPANY,US,Breitbart.com is a conservative news and opinion site founded by the late Andrew Breitbart,2008-11-10 23:31:33,4520811,5213333,2021-11-28 21:33:06 PST,2021-11-28,21:33:06,Link,"10,199",5209,1524,1298,19,848,49,276,969,7,,-,0,0,0,N/A,https://www.facebook.com/95475020353/posts/10168461062850354,"A survey released this week has revealed that half of the French public believe in the “Great Replacement” theory and that elites in politics and business are attempting to replace the native population of France. The Ifop survey, which asked a number of questions regarding immigration and topics such as Islamisation, found that 50 per cent of the French believe in the Great Replacement, a theory coined by French writer Renaud Camus to describe the demographic replacement of native peoples by mass migration.",https://trib.al/WblJTed,https://www.breitbart.com/europe/2021/11/28/half-of-french-believe-in-demographic-shift-great-replacement-theory/,,Half of French Believe in Demographic Shift 'Great Replacement' Theory,,,,,"10,199",2.98
Laurent Obertone,obertone.laurent,100044220496679,MOVIE_WRITER,FR,Page officielle de l'écrivain Laurent Obertone. Aux éditions Magnus et à La Furia.,2013-02-25 10:34:59,63901,72915,2020-11-26 09:00:01 PST,2020-11-26,09:00:01,Photo,"5,557",1769,898,960,99,116,730,53,812,120,,-,0,0,0,N/A,https://www.facebook.com/166660066816334/posts/1856298014519189,"« Une boîte de préservatifs offerte en Afrique, c’est trois noyés en moins en Méditerranée, cent mille euros d’économie pour la CAF, deux cellules de prison libérées et trois centimètres de banquise préservée. » Pour ces propos remontant au 18 avril 2019, Renaud Camus, 74 ans, comparaissait aujourd'hui au TGI de Paris, pour « injure publique envers un groupe de personnes à raison de leur origine ou de leur appartenance à une ethnie, une nation, une race ou une religion ». Le procureur a requis quatre mois de prison avec sursis et 5000 euros d'amende. Les ""parties civiles"" (la Licra, SOS Racisme, le MRAP, l'UEJF, l'AIPJ et la Dilcrah) réclament plusieurs dizaines de milliers d'euros de dommages et frais. Verdict le 10 février.",https://www.facebook.com/obertone.laurent/photos/a.169099903239017/1856293914519599/?type=3,,,,,,,,"5,557",5.92
Quotidien avec Yann Barthès,Qofficiel,100044296666663,MEDIA_NEWS_COMPANY,FR,"Page officielle de l'émission Quotidien, diffusée du lundi au vendredi à 19h20",2011-06-07 13:56:30,1777259,1886056,2021-03-25 02:01:56 PDT,2021-03-25,02:01:56,Link,"5,445",792,2060,294,63,111,842,77,1196,10,,-,0,0,0,N/A,https://www.facebook.com/222008437823118/posts/4212258012131454,"""C'est pas parce qu'on veut préserver l'identité française qu'on apprécie pas les autres cultures... MAIS CHEZ ELLES !"" 🤯",https://www.tf1.fr/tmc/quotidien-avec-yann-barthes/videos/estelle-redpill-la-tiktokeuse-de-lextreme-droite-chez-renaud-camus-06591269.html,,,"Estelle ""Redpill"", la TikTokeuse de l’extrême droite chez Renaud Camus - Quotidien | TMC","Désormais, la communication politique passe impérativement par les réseaux sociaux. Les différents courants politiques l’ont bien compris et l’extrême droite n’est pas en reste. Depuis plusieurs mois, elle investit les réseaux sociaux, Facebook et Twitter, mais aussi le réseau préfér....",,,,"5,445",14.25
Les Répliques,LesRepliquesOfficiel,100064293475320,MEDIA_NEWS_COMPANY,FR,Média indépendant ,2015-04-25 08:19:51,490556,507722,2020-08-30 04:33:19 PDT,2020-08-30,04:33:19,Photo,"5,276",3404,495,731,39,26,23,32,520,6,,-,0,0,0,N/A,https://www.facebook.com/1133556776671383/posts/4056508144376217,"Attentat de Christchurch : Brenton Tarrant a été condamné à la prison à perpétuité sans possibilité de libération conditionnelle pour le meurtre de 51 fidèles musulmans, dont un enfant de 3 ans (et 49 blessés), le 15 mars 2019 dans deux mosquées de Nouvelle-Zélande. Il se revendiquait de la théorie du ""grand remplacement"" de Renaud Camus largement répandue par Éric Zemmour et l’extrême-droite française (politique et médias). Il s’était radicalisé lors d’un séjour en Europe. Pour nous soutenir https://fr.tipeee.com/les-repliques ❤️ Retrouvez-nous sur nos réseaux : - Instagram : @lesrepliquesofficiel (posts publiés en avant première) - Twitter : @les_repliques (posts publiés en avant première) - Youtube Les Répliques TV : https://cutt.ly/ee7NKAG:=:https://www.youtube.com/channel/UC_KyKHzQdFQo9K1QFa2IyJw",https://www.facebook.com/LesRepliquesOfficiel/photos/a.1134927689867625/4056507484376283/?type=3,,,,,,,,"5,276",2.01
JL OtheninGirard Peintre Portraitiste,jlotheningirard,100044569391994,ARTIST,FR," ""Le visage parle"", ""Dès que le visage paraît, il m'oblige"" (Emmanuel Levinas)",2019-05-29 21:16:59,24710,24854,2020-11-10 06:04:57 PST,2020-11-10,06:04:57,Photo,"4,375",2394,402,851,643,69,1,0,1,14,,-,0,0,0,N/A,https://www.facebook.com/358103771505189/posts/681330549182508,"OFFRE SPÉCIALE NOËL 2020 Une idée cadeau originale 14€ pour 1 portrait au choix, 39€ pour 3 portraits au choix, 49€ pour 5 portraits au choix, 79€ pour 10 portraits au choix. (reproductions au format A4 21x29,7 cm, imprimées par un professionnel à partir de la photo de l'œuvre originale). Tarif TTC, frais d'expédition inclus (France métropolitaine). ----- En passant commande, vous m'aidez aussi à poursuivre mon activité et vous m'aidez à soutenir des causes. ----- Pour que je puisse estimer les quantités que je vais avoir à commander à l'imprimeur, merci de me dire, en commentaires, vos intentions ""a priori"" . Cela ne vous engage à rien. Vous avez jusqu'à la fin du mois de novembre pour réfléchir. Les commandes définitives seront à confirmer tout début décembre. ----- Bonne nouvelle, la liste s'étoffe de quelques portraits supplémentaires qui avaient été oubliés (Simone VEIL, Franck SINATRA, BONO, DAVE, Johnny HALLYDAY, David BOWIE, Vanessa PARADIS,...) Et bientôt, d'ici la fin du mois, (je travaille dessus), il y aura en plus Michael JACKSON, Nicola SIRKIS (Indochine), Michel BERGER, et un nouveau portrait en plus de Johnny HALLYDAY et un autre aussi de Frédéric FRANÇOIS... ----- Voici la nouvelle liste à jour au 10/10/2020: - AMIR - Guy BEDOS (au profit de droit de mourir dans la dignité) - Jean-Paul BELMONDO (2 portraits) - Daniel BALAVOINE - Louis BERTIGNAC - BONO (U2) - David BOWIE (2 portraits) - Georges BRASSENS - Jacques BREL - Patrick BRUEL - Benjamin BIOLAY (au profit de l'association ""La Tête Haute Je soutiens Marin"" ) - Francis CABREL (2 portraits) - CABU - CALOGERO - Albert CAMUS (2 portraits) - Alain CHAMFORT (2 portraits) - Jacques CHIRAC - CHRISTOPHE - Sean CONNERY - Léonard COHEN - Joe DASSIN - DAVE - Michel DELPECH - Jacques DUTRONC - Clint EASTWOOD - Mylène FARMER (au profit de la Fondation ""Le REFUGE"") - Jean FERRAT (au profit de l'Association pour la Recherche contre les Tumeurs Cérébrales - ARTC sud) - Louis de FUNES - Frédéric FRANÇOIS - Serge GAINSBOURG - Charles de GAULLE (2 portraits) - Jean-Jacques GOLDMAN - Annie GIRARDOT (2 portraits) - Daniel GUICHARD - Grand Corps Malade - Johnny HALLYDAY (2 portraits) - Françoise HARDY - JENIFER (au profit de la fondation ""Le REFUGE"") - Michael JONES - Bill KAULITZ (Tokio Hôtel) - Marc LAVOINE - Thierry LE LURON (au profit de la recherche contre le cancer, Institut Curie) - Gregory LEMARCHAL (au profit de la lutte contre la mucoviscidose) - John LENNON (3 portraits) - Michael LONSDALE - Christophe MAE - Paul McCARTNEY - Freddy MERCURY - Jean-Pierre MOCKY (2 portraits) - Vanessa PARADIS - Édith PIAF (au profit de l'association pour la Recherche contre les Tumeurs Cérébrales - ARTC sud) - PINK FLOYD (2 portraits) - POPECK - Serge REGGIANI - RENAUD (au profit de la recherche contre le cancer, Institut Curie) (2 portraits) - Pierre RICHARD - Romy SCHNEIDER - SHEILA - William SHELLER - Franck SINATRA - Robert SMITH (The Cure) - Hubert-Félix THIÉFAINE - Jean-Louis TRINTIGNANT - Simone VEIL - Lino VENTURA (au profit de la Fondation ""PERCE-NEIGE"") - Christophe WILHEM",https://www.facebook.com/jlotheningirard/photos/a.368002400515326/681326229182940/?type=3,,,Photos from JL OtheninGirard Peintre Portraitiste's post,,,,,"4,375",8.8
AJ+ français,ajplusfrancais,100064406033847,MEDIA_NEWS_COMPANY,QA,AJ+ français est un média inclusif qui s’adresse aux générations connectées et ouvertes sur le monde.,2017-03-08 09:54:47,1130487,1941418,2022-05-15 06:38:12 PDT,2022-05-15,06:38:12,Native Video,"4,268",603,925,1735,4,19,5,324,648,5,owned,Yes,55333,72543,0,00:01:20,https://www.facebook.com/394973304203658/posts/1684765771891065,"C’est l’un des massacres racistes les plus meurtriers de l’histoire récente des États-Unis : l’adolescent de 18 ans qui a tué au moins 10 personnes à Buffalo est un adepte de la théorie du “grand remplacement”, promue par l’écrivain français d’extrême droite Renaud Camus.",https://www.facebook.com/ajplusfrancais/videos/414712110196182/,,,Un suprémaciste blanc tue 10 personnes à Buffalo,,,,,"4,268",2.86
Le Figaro,lefigaro,100064714449291,BROADCASTING_MEDIA_PRODUCTION,FR,"🗞Abonnez-vous dès 1€ le premier mois ➡ https://bit.ly/3ugqfoD
iPhone bit.ly/1ieCMkK
Android bit.ly/1d",2009-03-19 18:37:55,3221772,3249744,2021-12-13 22:33:47 PST,2021-12-13,22:33:47,Link,"4,185",1392,1725,191,29,89,474,31,239,15,,-,0,0,0,N/A,https://www.facebook.com/61261101338/posts/10159131089836339,"«Selon l'INSEE, alors que moins de 1% des nouveau-nés avaient un prénom musulman dans les années 60, ils sont aujourd'hui 22%. Quel pourcentage demain?», a affirmé Eric Zemmour, reprenant à son compte la thèse d'un «grand remplacement» développée par l'écrivain Renaud Camus. On vérifie.",https://www.lefigaro.fr/actualite-france/en-france-22-des-nouveau-nes-ont-ils-un-prenom-musulman-20211213?origine=VWT16001&utm_campaign=echobox&utm_medium=Social&utm_source=Facebook#Echobox=1639423060,https://www.lefigaro.fr/actualite-france/en-france-22-des-nouveau-nes-ont-ils-un-prenom-musulman-20211213,,"En France, 22% des nouveau-nés ont-ils un prénom musulman?",,,,,"4,185",1.24
